# Configuration
# N_FOLDS,4
# EPOCHS_PER_TRIAL,5
# EARLY_STOPPING_PATIENCE,3
# INITIAL_POINTS,10
# BO_ITERATIONS,5
# BO_CANDIDATES,100
# BATCH_SIZE,512
# NUM_FILTERS,32
# KERNEL_SIZE,5
# NUM_UNITS,32
# LEARNING_RATE_MIN,0.0001
# LEARNING_RATE_MAX,0.05
# MANUAL_SEEDS,"[1, 4, 9, 12, 13, 14, 16, 17, 19, 21, 31, 35, 37, 38, 42, 45, 48, 51, 52, 55, 58, 60, 64, 66, 69, 80, 123, 256, 2048, 3651]"
seed,optimizer,iteration,trial_type,learning_rate,mean_accuracy,accuracy_std,fold_1_accuracy,fold_2_accuracy,fold_3_accuracy,fold_4_accuracy,best_accuracy_so_far,ei_value,fold_1_epochs_run,fold_2_epochs_run,fold_3_epochs_run,fold_4_epochs_run,fold_1_early_stopped,fold_2_early_stopped,fold_3_early_stopped,fold_4_early_stopped,fold_1_best_epoch,fold_2_best_epoch,fold_3_best_epoch,fold_4_best_epoch,epoch_1_avg_loss,epoch_2_avg_loss,epoch_3_avg_loss,epoch_4_avg_loss,epoch_5_avg_loss,epoch_1_avg_val_acc,epoch_2_avg_val_acc,epoch_3_avg_val_acc,epoch_4_avg_val_acc,epoch_5_avg_val_acc,fold_1_epoch_1_loss,fold_1_epoch_2_loss,fold_1_epoch_3_loss,fold_1_epoch_4_loss,fold_1_epoch_5_loss,fold_2_epoch_1_loss,fold_2_epoch_2_loss,fold_2_epoch_3_loss,fold_2_epoch_4_loss,fold_2_epoch_5_loss,fold_3_epoch_1_loss,fold_3_epoch_2_loss,fold_3_epoch_3_loss,fold_3_epoch_4_loss,fold_3_epoch_5_loss,fold_4_epoch_1_loss,fold_4_epoch_2_loss,fold_4_epoch_3_loss,fold_4_epoch_4_loss,fold_4_epoch_5_loss,fold_1_epoch_1_val_acc,fold_1_epoch_2_val_acc,fold_1_epoch_3_val_acc,fold_1_epoch_4_val_acc,fold_1_epoch_5_val_acc,fold_2_epoch_1_val_acc,fold_2_epoch_2_val_acc,fold_2_epoch_3_val_acc,fold_2_epoch_4_val_acc,fold_2_epoch_5_val_acc,fold_3_epoch_1_val_acc,fold_3_epoch_2_val_acc,fold_3_epoch_3_val_acc,fold_3_epoch_4_val_acc,fold_3_epoch_5_val_acc,fold_4_epoch_1_val_acc,fold_4_epoch_2_val_acc,fold_4_epoch_3_val_acc,fold_4_epoch_4_val_acc,fold_4_epoch_5_val_acc
1,SGD,0,initial,0.020909,0.775833,0.008735,0.764667,0.779333,0.771333,0.788000,0.775833,,5,5,5,5,0,0,0,0,4,4,4,4,2.044653,1.098021,0.771902,0.724822,0.612909,0.558000,0.705667,0.708667,0.732333,0.775833,2.018660,1.019387,0.805687,0.794300,0.655557,2.011796,1.057959,0.797355,0.685266,0.603762,2.035201,1.078733,0.744874,0.736032,0.607254,2.112954,1.236003,0.739693,0.683690,0.585064,0.590000,0.705333,0.637333,0.656667,0.764667,0.577333,0.709333,0.758000,0.773333,0.779333,0.580667,0.698667,0.705333,0.732667,0.771333,0.484000,0.709333,0.734000,0.766667,0.788000
1,SGD,1,initial,0.036044,0.787833,0.011929,0.781333,0.808000,0.784667,0.777333,0.787833,,5,5,5,5,0,0,0,0,4,4,4,3,1.807416,1.175332,0.972977,0.679410,0.559521,0.601500,0.640167,0.745500,0.776000,0.781833,1.881370,0.981837,0.806453,0.665036,0.541872,1.735132,1.475334,1.076789,0.688781,0.553435,1.863843,0.993158,1.057801,0.702186,0.562120,1.749320,1.250999,0.950866,0.661636,0.580658,0.564667,0.686000,0.742000,0.779333,0.781333,0.584667,0.605333,0.776667,0.795333,0.808000,0.616667,0.636667,0.714667,0.752000,0.784667,0.640000,0.632667,0.748667,0.777333,0.753333
1,SGD,2,initial,0.000106,0.253167,0.039096,0.305333,0.252000,0.195333,0.260000,0.787833,,5,5,5,5,0,0,0,0,4,4,4,4,2.308797,2.293838,2.274899,2.256231,2.238177,0.104333,0.125000,0.171333,0.217333,0.253167,2.308479,2.287023,2.262479,2.239697,2.217867,2.310333,2.294862,2.274313,2.252904,2.231915,2.314070,2.299858,2.282078,2.265168,2.249122,2.302304,2.293610,2.280726,2.267156,2.253805,0.128667,0.149333,0.224667,0.282667,0.305333,0.109333,0.175333,0.199333,0.222667,0.252000,0.085333,0.069333,0.128667,0.170667,0.195333,0.094000,0.106000,0.132667,0.193333,0.260000
1,SGD,3,initial,0.015186,0.762333,0.016093,0.756000,0.788000,0.744000,0.761333,0.787833,,5,5,5,5,0,0,0,0,4,4,4,4,2.053522,1.208889,0.788386,0.693001,0.636126,0.549167,0.695667,0.718500,0.747833,0.762333,2.052967,1.173705,0.762357,0.684496,0.617767,1.982380,1.087037,0.779285,0.715416,0.625188,2.102299,1.352699,0.842447,0.702364,0.665310,2.076441,1.222114,0.769457,0.669729,0.636238,0.603333,0.704667,0.703333,0.731333,0.756000,0.484667,0.706667,0.727333,0.780667,0.788000,0.524667,0.686667,0.717333,0.730000,0.744000,0.584000,0.684667,0.726000,0.749333,0.761333
1,SGD,4,initial,0.007423,0.751167,0.010278,0.754667,0.766000,0.738667,0.745333,0.787833,,5,5,5,5,0,0,0,0,4,4,4,4,2.171536,1.627002,1.070460,0.812212,0.718857,0.357500,0.642667,0.716000,0.735667,0.751167,2.149454,1.587645,1.067286,0.818032,0.715733,2.194734,1.689273,1.100039,0.810902,0.728794,2.167690,1.650301,1.123878,0.859439,0.741407,2.174265,1.580789,0.990638,0.760476,0.689496,0.342000,0.632667,0.714000,0.735333,0.754667,0.436000,0.620000,0.736667,0.756667,0.766000,0.299333,0.617333,0.704667,0.730000,0.738667,0.352667,0.700667,0.708667,0.720667,0.745333
1,SGD,5,initial,0.004708,0.727667,0.017792,0.744000,0.743333,0.700667,0.722667,0.787833,,5,5,5,5,0,0,0,0,4,4,4,4,2.226805,1.880851,1.438289,1.060154,0.854104,0.339667,0.486667,0.670000,0.720333,0.727667,2.246082,1.907459,1.434733,1.049173,0.850470,2.197056,1.796915,1.332347,0.954227,0.776707,2.241819,1.942429,1.540588,1.154255,0.916521,2.222265,1.876601,1.445489,1.082963,0.872717,0.311333,0.504000,0.686000,0.726000,0.744000,0.405333,0.492667,0.716667,0.737333,0.743333,0.376667,0.446000,0.627333,0.696667,0.700667,0.265333,0.504000,0.650000,0.721333,0.722667
1,SGD,6,initial,0.009394,0.741667,0.018169,0.750000,0.767333,0.722000,0.727333,0.787833,,5,5,5,5,0,0,0,0,4,4,4,3,2.177537,1.629020,1.029802,0.789994,0.708503,0.381667,0.629000,0.700167,0.734167,0.741500,2.200394,1.704048,1.051064,0.780704,0.696903,2.174659,1.652198,1.075238,0.798095,0.684958,2.182249,1.603823,0.978398,0.771072,0.720303,2.152844,1.556010,1.014508,0.810104,0.731848,0.310000,0.638000,0.696667,0.730667,0.750000,0.324667,0.584000,0.708667,0.760667,0.767333,0.509333,0.648000,0.699333,0.718000,0.722000,0.382667,0.646000,0.696000,0.727333,0.726667
1,SGD,7,initial,0.017343,0.769000,0.016935,0.750667,0.796667,0.765333,0.763333,0.787833,,5,5,5,5,0,0,0,0,4,4,4,4,2.056672,1.147728,0.769658,0.712880,0.622660,0.509167,0.695333,0.716833,0.740333,0.769000,2.060507,1.180613,0.797209,0.732675,0.649239,1.997417,1.042949,0.752792,0.704596,0.597324,2.099033,1.217359,0.746516,0.682244,0.621010,2.069730,1.149993,0.782114,0.732006,0.623068,0.450000,0.684000,0.687333,0.732667,0.750667,0.502667,0.712667,0.746667,0.738667,0.796667,0.556000,0.697333,0.718000,0.728667,0.765333,0.528000,0.687333,0.715333,0.761333,0.763333
1,SGD,8,initial,0.019899,0.782167,0.002511,0.780000,0.784667,0.779333,0.784667,0.787833,,5,5,5,5,0,0,0,0,4,3,4,4,1.967046,0.994781,0.784940,0.712648,0.598727,0.612000,0.701333,0.706167,0.770833,0.781500,1.931948,0.988770,0.805098,0.716466,0.596063,2.015886,1.073341,0.838196,0.726075,0.614345,1.953218,0.934033,0.777256,0.731828,0.601596,1.967130,0.982979,0.719211,0.676222,0.582906,0.618667,0.690000,0.700667,0.762667,0.780000,0.566667,0.700667,0.692667,0.784667,0.782000,0.604000,0.695333,0.742000,0.776000,0.779333,0.658667,0.719333,0.689333,0.760000,0.784667
1,SGD,9,initial,0.026987,0.791833,0.010660,0.800667,0.793333,0.774000,0.799333,0.791833,,5,5,5,5,0,0,0,0,4,3,4,4,1.903679,0.948863,0.817192,0.652178,0.566831,0.594667,0.697333,0.745500,0.779000,0.791833,1.905515,0.927190,0.882312,0.651593,0.554298,1.866264,0.954068,0.813764,0.650695,0.563541,1.951452,1.002297,0.738436,0.686704,0.600928,1.891484,0.911896,0.834255,0.619718,0.548557,0.583333,0.689333,0.751333,0.782000,0.800667,0.614000,0.698667,0.746667,0.793333,0.793333,0.561333,0.694000,0.726667,0.750667,0.774000,0.620000,0.707333,0.757333,0.790000,0.799333
1,SGD,10,bo,0.013351,0.770333,0.004069,0.774667,0.765333,0.767333,0.774000,0.791833,0.011116,5,5,5,5,0,0,0,0,4,4,4,4,2.110329,1.355682,0.805681,0.693268,0.640222,0.440000,0.698667,0.724667,0.752667,0.770333,2.125472,1.384980,0.793491,0.682437,0.650034,2.125743,1.466812,0.859846,0.727985,0.684652,2.087781,1.274140,0.791123,0.688996,0.616792,2.102319,1.296795,0.778266,0.673653,0.609409,0.412000,0.691333,0.730000,0.748000,0.774667,0.262667,0.689333,0.734000,0.758000,0.765333,0.562667,0.704000,0.706000,0.736667,0.767333,0.522667,0.710000,0.728667,0.768000,0.774000
1,SGD,11,bo,0.034871,0.801833,0.012635,0.784667,0.819333,0.797333,0.806000,0.801833,0.006562,5,5,5,5,0,0,0,0,4,4,4,4,1.836513,0.986823,0.845739,0.644104,0.548168,0.615500,0.677167,0.728167,0.777833,0.801833,1.839017,1.017217,0.995855,0.683531,0.582585,1.846959,1.004321,0.847774,0.659951,0.549890,1.788882,0.972277,0.721667,0.608891,0.526594,1.871193,0.953477,0.817658,0.624044,0.533602,0.618000,0.606667,0.709333,0.745333,0.784667,0.684000,0.688000,0.762667,0.794667,0.819333,0.594000,0.711333,0.734000,0.790000,0.797333,0.566000,0.702667,0.706667,0.781333,0.806000
1,SGD,12,bo,0.034933,0.800500,0.013186,0.814667,0.787333,0.787333,0.812667,0.801833,0.000000,5,5,5,5,0,0,0,0,4,4,4,4,1.958223,1.098625,1.069030,0.721675,0.582166,0.570167,0.658167,0.693167,0.764167,0.800500,1.977402,0.986297,0.841155,0.652682,0.548970,1.992753,1.119165,1.479677,0.839996,0.646246,1.948883,0.974304,1.051468,0.742589,0.589635,1.913853,1.314733,0.903819,0.651432,0.543813,0.477333,0.674667,0.728000,0.785333,0.814667,0.492000,0.653333,0.648000,0.763333,0.787333,0.645333,0.693333,0.654000,0.751333,0.787333,0.666000,0.611333,0.742667,0.756667,0.812667
1,SGD,13,bo,0.035205,0.791000,0.007579,0.795333,0.798667,0.778667,0.791333,0.801833,0.000000,5,5,5,5,0,0,0,0,4,3,4,4,1.843551,1.075806,0.976768,0.697204,0.580913,0.648667,0.622833,0.742333,0.768500,0.786833,1.843623,1.040582,0.871949,0.682217,0.569925,1.807803,1.171106,0.953882,0.663888,0.598259,1.962839,1.010272,1.083325,0.728312,0.576768,1.759938,1.081263,0.997917,0.714399,0.578700,0.670667,0.638667,0.732000,0.776667,0.795333,0.676000,0.674667,0.782000,0.798667,0.782000,0.645333,0.594000,0.717333,0.751333,0.778667,0.602667,0.584000,0.738000,0.747333,0.791333
1,SGD,14,bo,0.035124,0.798333,0.015424,0.798000,0.818667,0.775333,0.801333,0.801833,0.000000,5,5,5,5,0,0,0,0,4,4,4,4,1.802110,1.041743,0.933452,0.657052,0.555167,0.647333,0.634333,0.730500,0.772833,0.798333,1.831023,1.021417,1.075170,0.667499,0.566436,1.826816,0.923266,0.865000,0.647937,0.541193,1.818127,1.178651,1.048080,0.689185,0.585258,1.732475,1.043636,0.745558,0.623589,0.527781,0.659333,0.590000,0.714667,0.781333,0.798000,0.648000,0.610667,0.770667,0.790667,0.818667,0.624000,0.674667,0.706000,0.748667,0.775333,0.658000,0.662000,0.730667,0.770667,0.801333
1,Adam,0,initial,0.020909,0.711500,0.076890,0.750000,0.584667,0.788667,0.722667,0.711500,,5,5,5,5,0,0,0,0,4,4,4,4,4.830617,1.644065,1.195591,0.940566,0.798916,0.285000,0.473500,0.607833,0.671333,0.711500,5.344106,1.719473,1.210673,0.891205,0.726398,7.319631,2.087248,1.776842,1.508628,1.310014,2.836533,1.211756,0.779148,0.598995,0.503399,3.822197,1.557782,1.015703,0.763438,0.655851,0.239333,0.391333,0.616000,0.713333,0.750000,0.204667,0.316000,0.387333,0.479333,0.584667,0.390667,0.634000,0.738000,0.781333,0.788667,0.305333,0.552667,0.690000,0.711333,0.722667
1,Adam,1,initial,0.036044,0.536000,0.118896,0.368000,0.488000,0.607333,0.680667,0.711500,,5,5,5,5,0,0,0,0,3,4,4,4,7.969017,1.866174,1.590400,1.373773,1.250024,0.218833,0.382833,0.431667,0.491833,0.534667,6.090340,2.046810,1.856763,1.681498,1.599861,9.698293,2.003795,1.703642,1.436241,1.288606,8.159092,1.609048,1.422144,1.250139,1.148010,7.928341,1.805045,1.379051,1.127214,0.963620,0.187333,0.294000,0.330667,0.368000,0.362667,0.189333,0.312000,0.360667,0.447333,0.488000,0.268667,0.458667,0.509333,0.518000,0.607333,0.230000,0.466667,0.526000,0.634000,0.680667
1,Adam,2,initial,0.000106,0.674000,0.037097,0.710000,0.625333,0.650667,0.710000,0.711500,,5,5,5,5,0,0,0,0,4,4,4,4,2.178710,1.908511,1.677460,1.484913,1.327447,0.442667,0.516333,0.581833,0.631167,0.674000,2.158920,1.868731,1.634153,1.442599,1.283710,2.176604,1.898413,1.659335,1.465530,1.309939,2.198060,1.950206,1.748948,1.576918,1.432205,2.181255,1.916695,1.667405,1.454604,1.283935,0.382000,0.515333,0.628667,0.678000,0.710000,0.420000,0.438667,0.492000,0.542000,0.625333,0.400667,0.531333,0.568000,0.622000,0.650667,0.568000,0.580000,0.638667,0.682667,0.710000
1,Adam,3,initial,0.015186,0.785333,0.022896,0.757333,0.814000,0.769333,0.800667,0.785333,,5,5,5,5,0,0,0,0,3,4,3,4,3.269604,1.340906,0.881279,0.661887,0.548048,0.467333,0.639333,0.727833,0.774833,0.782667,3.570676,1.601808,1.094685,0.786809,0.641472,3.238408,1.445942,0.882349,0.626338,0.527065,2.957145,1.109117,0.749400,0.610401,0.513460,3.312189,1.206759,0.798681,0.624000,0.510196,0.353333,0.582667,0.695333,0.757333,0.752000,0.528667,0.634000,0.766000,0.791333,0.814000,0.512000,0.671333,0.714000,0.769333,0.764000,0.475333,0.669333,0.736000,0.781333,0.800667
1,Adam,4,initial,0.007423,0.822167,0.014753,0.836000,0.833333,0.820667,0.798667,0.822167,,5,5,5,5,0,0,0,0,4,4,4,4,2.153174,1.075443,0.714261,0.558965,0.478438,0.545167,0.726333,0.783333,0.803333,0.822167,1.935225,0.914206,0.616529,0.501705,0.432127,1.995771,0.886549,0.646446,0.526072,0.455351,2.024101,0.992011,0.677205,0.544171,0.457030,2.657599,1.509005,0.916865,0.663912,0.569242,0.581333,0.758000,0.795333,0.824667,0.836000,0.654667,0.756000,0.798000,0.818000,0.833333,0.599333,0.732000,0.787333,0.806000,0.820667,0.345333,0.659333,0.752667,0.764667,0.798667
1,Adam,5,initial,0.004708,0.825000,0.013511,0.844667,0.830000,0.815333,0.810000,0.825000,,5,5,5,5,0,0,0,0,4,4,4,4,1.821642,0.928065,0.652907,0.533296,0.461068,0.643000,0.743500,0.790667,0.807833,0.825000,1.386855,0.638546,0.513252,0.437262,0.385223,2.009511,0.993847,0.696877,0.579431,0.496150,1.917898,1.057217,0.698368,0.552431,0.472031,1.972303,1.022651,0.703131,0.564059,0.490868,0.770667,0.794667,0.823333,0.836667,0.844667,0.636000,0.725333,0.785333,0.810667,0.830000,0.558000,0.720000,0.778000,0.788667,0.815333,0.607333,0.734000,0.776000,0.795333,0.810000
